desktop,Name[zh_TW],GenericName[zh_TW],Comment[zh_TW],Name[zh_CN],GenericName[zh_CN],Comment[zh_CN],Categories,,,,,,Name[en_US],GenericName[en_US],Comment[en_US],Categories
#ezgomenu start,,,,,,,,,,,,,,,,
#辦公,,,,,,,,,,,,,,,,
openoffice.org-writer.desktop,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,文书处理_Writer,类似MicrosoftWord的文书处理软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,文书处理_Writer,Office,,,,,,Word processing _Writer,It is similar to Microsoft Word and is cross-platform.It uses internation standard ODF format.,Word processing _Writer,Office
openoffice.org-calc.desktop,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,电子表格_Calc,类似MicrosoftExcel的电子表格软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,电子表格_Calc,Office,,,,,,Sheets _Calc,"Similar to Microsoft Excel spreadsheet software,is cross-platform and uses international standard ODF format.",Spreadsheet _Calc,Office
openoffice.org-impress.desktop,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,演示幻灯片_Impress,类似MicrosoftPowerPoint的演示幻灯片软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,演示幻灯片_Impress,Office,,,,,,Briefing _Impress,"Similar to Microsoft PowerPoint presentation software, is cross-platform and uses international standard ODF format.",Presentation slides _Impress,Office
openoffice.org-draw.desktop,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,画图_Draw,利用Office软件的使用思维即可轻松的绘制向量图,画图_Draw,Office,,,,,,Drawing _Draw,It is used in creating vector diagram.,Paint _Draw,Office
openoffice.org-base.desktop,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,数据库_Base,类似MicrosoftAccess的数据库软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数据库_Base,Office,,,,,,Database _Base,"Similar to Microsoft Access database software, is cross-platform and uses international standard ODF format.",Database _Base,Office
libreoffice-writer.desktop,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,文书处理_Writer,类似MicrosoftWord的文书处理软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,文书处理_Writer,Office,,,,,,Word processing _Writer,It is similar to Microsoft Word and is cross-platform.It uses internation standard ODF format.,Word processing _Writer,Office
libreoffice-calc.desktop,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,数字表格_Calc,类似MicrosoftExcel的数字表格软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数字表格_Calc,Office,,,,,,Sheets _Calc,"Similar to Microsoft Excel spreadsheet software, is cross-platform and uses international standard ODF format.",Digital form _Calc,Office
libreoffice-impress.desktop,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,演示幻灯片_Impress,类似MicrosoftPowerPoint的演示幻灯片软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,演示幻灯片_Impress,Office,,,,,,Briefing _Impress,"Similar to Microsoft PowerPoint presentation software, is cross-platform and uses international standard ODF format.",Presentation slides _Impress,Office
libreoffice-draw.desktop,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,画图_Draw,利用Office软件的使用思维即可轻松的绘制向量图,画图_Draw,Office,,,,,,Drawing _Draw,It is used in creating vector diagram.,Paint _Draw,Office
libreoffice-base.desktop,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,数据库_Base,类似MicrosoftAccess的数据库软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数据库_Base,Office,,,,,,Database _Base,"Similar to Microsoft Access database software, is cross-platform and uses international standard ODF format.",Database _Base,Office
libreoffice-math.desktop,公式編輯_Math,LibreOffice 上可以做數學公式編輯的軟體,公式編輯_Math,公式编辑_Math,LibreOffice 上可以做数学公式编辑的软件,公式编辑_Math,Office,,,,,,Equation Editor _Math,You can use Libre Office to solve mathematical equation.,Equation Editor _Math,Office
libreoffice-startcenter.desktop,整合應用_LibreOffice,LibreOffice 的入口,整合應用_LibreOffice,整合应用_LibreOffice,LibreOffice的入口,整合应用_LibreOffice,Office,,,,,,Integrated application _LibreOffice,LibreOffice,Integrated application _LibreOffice,Office
oxoffice5-writer.desktop,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,文书处理_Writer,类似MicrosoftWord的文书处理软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,文书处理_Writer,Office,,,,,,Word processing _Writer,It is similar to Microsoft Word and is cross-platform.It uses internation standard ODF format.,Word processing _Writer,Office
oxoffice5-calc.desktop,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,数字表格_Calc,类似MicrosoftExcel的数字表格软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数字表格_Calc,Office,,,,,,Sheets _Calc,"Similar to Microsoft Excel spreadsheet software, is cross-platform and uses international standard ODF format.",Digital form _Calc,Office
oxoffice5-impress.desktop,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,演示幻灯片_Impress,类似MicrosoftPowerPoint的演示幻灯片软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,演示幻灯片_Impress,Office,,,,,,Briefing _Impress,"Similar to Microsoft PowerPoint presentation software, is cross-platform and uses international standard ODF format.",Presentation slides _Impress,Office
oxoffice5-draw.desktop,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,画图_Draw,利用Office软件的使用思维即可轻松的绘制向量图,画图_Draw,Office,,,,,,Drawing _Draw,It is used in creating vector diagram.,Paint _Draw,Office
oxoffice5-base.desktop,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,数据库_Base,类似MicrosoftAccess的数据库软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数据库_Base,Office,,,,,,Database _Base,"Similar to Microsoft Access database software, is cross-platform and uses international standard ODF format.",Database _Base,Office
oxoffice5-math.desktop,公式編輯_Math,OxOffice 上可以做數學公式編輯的軟體,公式編輯_Math,公式编辑_Math,OxOffice 上可以做数学公式编辑的软件,公式编辑_Math,Office,,,,,,Equation Editor _Math,You can use OxOffice to solve mathematical equation.,Equation Editor _Math,Office
oxoffice5-startcenter.desktop,整合應用_OxOffice,OxOffice 的入口,整合應用_OxOffice,整合应用_OxOffice,OxOffice的入口,整合应用_OxOffice,Office,,,,,,Integrated application _OxOffice,OxOffice,Integrated application _OxOffice,Office
# abiword.desktop: 20141107 added by Franklin,,,,,,,,,,,,,,,,
abiword.desktop,文書處理_Abiword,簡易的文書處理軟體,文書處理_Abiword,文书处理_Abiword,简易的文书处理软件,文书处理_Abiword,Office,,,,,,Word processing _Abiword,It is a simple word processing software.,Word processing _Abiword,Office
scribus.desktop,排版軟體_Scribus,適合用於雜誌，報紙等印刷品編輯設計的出版軟體,排版軟體_Scribus,排版软件_Scribus,适合用于杂志，报纸等印刷品编辑设计的出版软件,排版软件_Scribus,Office,,,,,,Publishing software _Scribus,"It is a dektop publishing software suitable for magazines, newspapers and other printed publication.",Typesetting software _Scribus,Office
dia-common.desktop,辧公室製圖_Dia,Dia 提供模組化的設計工具來製圖，如流程圖、網路圖、電路圖等，都可以利用 Dia 輕鬆繪製,辧公室製圖_Dia,办公室制图_Dia,Dia提供模块化的设计工具来制图，如流程图、网络图、电路图等，都可以利用Dia轻松绘制,办公室制图_Dia,Office,,,,,,Vital fixture public rooms Drawing _Dia,"Dia is used to make flowcharts, network diagram, schematics etc by providing modular design to drawing tools.",Office Drawing _Dia,Office
dia.desktop,圖表繪製_Dia,Dia 提供模組化的設計工具來製圖，如流程圖、網路圖、電路圖等，都可以利用 Dia 輕鬆繪製,圖表繪製_Dia,图表绘制_Dia,Dia提供模块化的设计工具来制图，如流程图、网络图、电路图等，都可以利用Dia轻松绘制,图表绘制_Dia,Office,,,,,,Diagramming _Dia,"Dia is used to make flowcharts, network diagram, schematics etc by providing modular design to drawing tools.",Diagramming _Dia,Office
pencil.desktop,圖表繪製_Pencil,圖表繪製軟體,圖表繪製_Pencil,图表绘制_Pencil,图表绘制软件,图表绘制_Pencil,Office,,,,,,Diagramming _Pencil,It is a diagramming software.,Diagramming _Pencil,Office
freeplane.desktop,心智圖_FreePlane,可輕鬆繪製心智圖的工具軟體,心智圖_FreePlane,思维导图_FreePlane,可轻松绘制思维导图的工具软件,思维导图_FreePlane,Office,,,,,,Mind Mapping _FreePlane,Freeplane is a mind-mapping software tool.,Mind Map _FreePlane,Office
xmind.desktop,心智圖_XMind,可輕鬆繪製心智圖、組織圖、魚骨圖的工具軟體,心智圖_XMind,思维导图_XMind,可轻松绘制思维导图、组织图、鱼骨图的工具软件,思维导图_XMind,Office,,,,,,Mind Mapping _XMind,"Xmind allows you to draw mind maps, organizational chart, the fishbone diagram tool.",Mind Map _XMind,Office
freemind.desktop,心智圖_FreeMind,可輕鬆繪製心智圖、組織圖的工具軟體,心智圖_FreeMind,思维导图_FreeMind,可轻松绘制思维导图、组织图的工具软件,思维导图_FreeMind,Office,,,,,,Mind Mapping _FreeMind,"Freemind allows you to draw mind maps, organizational chart.",Mind Map _FreeMind,Office
planner.desktop,專案管理_Planner,Planner 擁有大多數專案管理工具都有的功能，像是甘特圖。除此之外，Planner 還有其他獨特的功能，像是儲存為XML檔,專案管理_Planner,项目管理_Planner,Planner拥有大多数专案管理工具都有的功能，像是甘特图。除此之外，Planner還有其他獨特的功能，像是儲存為XML檔,项目管理_Planner,Office,,,,,,Project Management _Planner,Planner is used for project management tools such as Gantt Chart and plenty of other feature.,Project Management _Planner,Office
GanttProject.desktop,專案管理_GanttProject,GanttProject 是一套跨平台的專案管理工具，可用於專案規劃與管理,專案管理_GanttProject,项目管理_GanttProject,GanttProject是一套跨平台的专案管理工具，可用于专案规划与管理,项目管理_GanttProject,Office,,,,,,Project Management _GanttProject,GanttProject is a cross-platform project management tool for project planning and management.,Project Management _GanttProject,Office
calibre.desktop,電子書_Calibre,電子書閱讀軟體,電子書_Calibre,电子书_Calibre,电子书阅读软件,电子书_Calibre,Office,,,,,,EBook _Calibre,It is an e-book reading software.,EBook _Calibre,Office
calibre-gui.desktop,電子書_Calibre,Calibre 是一套功能算齊全的電子書管理工具，支援多種文件格式，它除了提供電子書閱讀的功能以外，還有管理、轉換及同步等功能。,電子書_Calibre,电子书_Calibre,Calibre是一套功能算齐全的电子书管理工具，支持多种文件格式，它除了提供电子书阅读的功能以外，还有管理、转换及同步等功能。,电子书_Calibre,Office,,,,,,EBook _Calibre,"Calibre is an e-book reading software providing various functions as management, conversion and synchronization.",EBook _Calibre,Office
calibre-ebook-viewer.desktop,電子書_E-book Viewer,提供電子書閱讀的功能,電子書_E-book Viewer,电子书_E-bookViewer,提供电子书阅读的功能,电子书_E-bookViewer,Office,,,,,,EBook _E-book Viewer,E-book reader,EBook _E-bookViewer,Office
ebook-viewer.desktop,電子書_E-book Viewer,提供電子書閱讀的功能,電子書_E-book Viewer,电子书_E-bookViewer,提供电子书阅读的功能,电子书_E-bookViewer,Office,,,,,,EBook _E-book Viewer,E-book reader,EBook _E-bookViewer,Office
calibre-lrfviewer.desktop,電子書_LRF Viewer,提供電子書閱讀的功能,電子書_LRF Viewer,电子书_LRFViewer,提供电子书阅读的功能,电子书_LRFViewer,Office,,,,,,EBook _LRF Viewer,E-book reader,EBook _LRFViewer,Office
calibre-lrfviewer.desktop,電子書_LRF Viewer,提供電子書閱讀的功能,電子書_LRF Viewer,电子书_LRFViewer,提供电子书阅读的功能,电子书_LRFViewer,Office,,,,,,EBook _LRF Viewer,E-book reader,EBook _LRFViewer,Office
lrfviewer.desktop,電子書_LRF Viewer,提供電子書閱讀的功能,電子書_LRF Viewer,电子书_LRFViewer,提供电子书阅读的功能,电子书_LRFViewer,Office,,,,,,EBook _LRF Viewer,E-book reader,EBook _LRFViewer,Office
okular.desktop,PDF瀏覽_Okular,多功能文件檢視器,PDF瀏覽_Okular,PDF浏览_Okular,多功能文件查看器,PDF浏览_Okular,Office,,,,,,PDF Browse _Okular,E-book reader,PDF Browse _Okular,Office
# evince.desktop: 20141107 added by Franklin,,,,,,,,,,,,,,,,
evince.desktop,文件檢視_DocumentViewer,文件檢視器,文件檢視_DocumentViewer,文件检视_DocumentViewer,文件检视器,文件检视_DocumentViewer,Office,,,,,,File View _DocumentViewer,Document Viewer,File View _DocumentViewer,Office
AdobeReader.desktop,PDF瀏覽_AdobeReader,Adobe 原廠的 PDF 瀏覽器,PDF瀏覽_AdobeReader,PDF浏览_AdobeReader,Adobe原厂的PDF瀏覽器,PDF浏览_AdobeReader,Office,,,,,,PDF Browse _AdobeReader,Adobe Reader for viewing PDF files,PDF Browse _AdobeReader,Office
pdfedit.desktop,PDF編輯_PDF Editor,可直接編輯 PDF 檔中的文字及內容，並且可再另存新檔,PDF編輯_PDF Editor,PDF编辑_PDFEditor,可直接编辑PDF档中的文字及内容，并且可再另存为,PDF编辑_PDFEditor,Office,,,,,,PDF Editor _PDF Editor,It can be used to edit the text and content of PDF files.,PDF Editor _PDFEditor,Office
pdfshuffler.desktop,PDF編輯_Shuffler,可輕易做到 PDF 格式合併，重新排列，分割，旋轉和裁剪,PDF編輯_Shuffler,PDF编辑_Shuffler,可轻易做到PDF格式合并，重新排列，分割，旋转和裁剪,PDF编辑_Shuffler,Office,,,,,,PDF Editor _Shuffler,"Shuffler allows the user to merge, rearrange, split, rotate and crop.",PDF Editor _Shuffler,Office
xournal.desktop,PDF手繪筆記_Xournal,可在匯入 PDF 檔案後，在上面任意手寫、打字、畫彩色圖形線段、以及以螢光筆作記號,PDF手繪筆記_Xournal,PDF手绘笔记_Xournal,可在输入PDF文件后，在上面任意手写、打字、画彩色图形线段、以及以萤光笔作记号,PDF手绘笔记_Xournal,Office,,,,,,PDF freehand notes _Xournal,"Input types like handwritten notes, typing, painting colour graphics segment, fluorescent marker pen is stored in PDF format.",PDF freehand notes _Xournal,Office
impressive-editor.desktop,PDF簡報播放_Impressive,可以將 PDF 檔案當成簡報一樣播放的PDF簡報播放軟體,PDF簡報播放_Impressive,PDF幻灯片播放_Impressive,可以将PDF文件当成演示幻灯片一样播放的PDF演示幻灯片播放软件,PDF演示幻灯片播放_Impressive,Office,,,,,,PDF presentation playing _Impressive,Impressive allows PDF files to played as slide presentation.,PDF slide show presentation _Impressive,Office
kaddressbook.desktop,通訊錄_KAddressbook,KDE 上的通訊錄程式,通訊錄_KAddressbook,通讯录_KAddressbook,KDE上的通讯录程序,通讯录_KAddressbook,Office,,,,,,Contacts _KAddressbook,It's a address book software present in KDE.,Contacts _KAddressbook,Office
gnucash.desktop,金融管理_GnuCash,一套複式簿記系統的記帳軟體，基本上的概念和會計相同,金融管理_GnuCash,金融管理_GnuCash,一套复式簿记系统的记帐软件，基本上的概念和会计相同,金融管理_GnuCash,Office,,,,,,Financial Management _GnuCash,It is an accounting software that have double entry book keeping system.,Financial Management _GnuCash,Office
sigil.desktop,電子書編輯_Sigil,一套可見即所得的電子書編輯軟體,電子書編輯_Sigil,电子书编辑_Sigil,一套可见即所得的电子书编辑软件,电子书编辑_Sigil,Office,,,,,,EBook Editing _Sigil,Sigil allows to edit e-books in e-Pub format in WYSIWYG format.,EBook Editing _Sigil,Office
qtqr.desktop,QR Code產生器_QtQR,QR Code 的產生器,QR Code產生器_QtQR,QRCode产生器_QtQR,QRCode的产生器,QRCode产生器_QtQR,Office,,,,,,QR Code generator _QtQR,QRCode generator.,QRCode generator _QtQR,Office
#美工,,,,,,,,,,,,,,,,
krita.desktop,筆刷繪圖_Krita,類似 OpenOffice Draw，功能強大的繪圖軟體,筆刷繪圖_Krita,笔刷绘图_Krita,类似OpenOfficeDraw，功能强大的绘图软件,笔刷绘图_Krita,Graphics,,,,,,Brush drawing _Krita,Similar to OpenOfficeDraw.It is a powerful graphics software.,Brush drawing _Krita,Graphics
kamoso.desktop,影像擷取_Kamoso,從您的網路攝影機中擷取圖片,影像擷取_Kamoso,影像撷取_Kamoso,从您的网络摄影机中捕获图片,影像撷取_Kamoso,Graphics,,,,,,Image capture _Kamoso,Capture images from your webcam.,Image capture _Kamoso,Graphics
display.im6.desktop,影像編輯_ImageMagick,影像編輯軟體,影像編輯_ImageMagick,影像编辑_ImageMagick,影像编辑软件,影像编辑_ImageMagick,Graphics,,,,,,Video editing _ImageMagick,Image editing software,Video editing _ImageMagick,Graphics
skanlite.desktop,影像掃描_Skanlite,KDE 上的影像掃描軟體,影像掃描_Skanlite,影像扫描_Skanlite,KDE上的影像扫描软件,影像扫描_Skanlite,Graphics,,,,,,Image scanning _Skanlite,Image scanning software by KDE,Image scanning _Skanlite,Graphics
gpaint.desktop,小畫家_GNU Paint,類似小畫家的繪圖軟體,小畫家_GNU Paint,画图_GNUPaint,类似画图的绘图软件,画图_GNUPaint,Graphics,,,,,,Paint _GNU Paint,Similar drawing graphics software,Paint _GNUPaint,Graphics
kolourpaint.desktop,小畫家_KolourPaint,類似小畫家的繪圖軟體,小畫家_KolourPaint,画图_KolourPaint,类似画图的绘图软件,画图_KolourPaint,Graphics,,,,,,Paint _KolourPaint,Similar drawing graphics software,Paint _KolourPaint,Graphics
# mtpaint.desktop: 20141107 added by Franklin:,,,,,,,,,,,,,,,,
mtpaint.desktop,小畫家_mtPaint,類似小畫家的繪圖軟體,小畫家_mtPainter,画图_mtPaint,类似画图的绘图软件,画图_mtPaint,Graphics,,,,,,Paint _mtPaint,Similar drawing graphics software,Paint _mtPaint,Graphics
tuxpaint.desktop,企鵝小畫家_TuxPaint,適合小朋友發揮創意，任意塗鴉的繪圖軟體,企鵝小畫家_TuxPaint,企鹅画图_TuxPaint,适合小朋友发挥创意，任意涂鸦的绘图软件,企鹅画图_TuxPaint,Graphics,,,,,,Penguin painter _TuxPaint,Suitable for children to be creative.A graffiti graphics software,Penguin drawing _TuxPaint,Graphics
mypaint.desktop,筆刷繪圖_My Paint,內建四百種超炫筆刷的繪圖軟體,筆刷繪圖_My Paint,笔刷绘图_MyPaint,内置四百种超炫笔刷的绘图软件,笔刷绘图_MyPaint,Graphics,,,,,,Drawing _My Paint Brushes,Built four hundred kinds of brushes stunning graphics software,Brush drawing _MyPaint,Graphics
inkscape.desktop,向量繪圖_Inkscape,可建立 svg 向量圖檔的繪圖軟體，功能和界面類似 CorelDRAW,向量繪圖_Inkscape,向量绘图_Inkscape,可创建svg向量图档的绘图软件，功能和界面类似CorelDRAW,向量绘图_Inkscape,Graphics,,,,,,Vector drawing _Inkscape,"You can create svg vector graphics drawing software, and interface similar to CorelDRAW",Vector drawing _Inkscape,Graphics
gimp.desktop,影像處理_GIMP,具圖層應用功能的影像編輯和點陣繪圖軟體，功能和界面類似 Photoshop,影像處理_GIMP,影像处理_GIMP,具图层应用功能的影像编辑和点阵绘图软件，功能和界面类似Photoshop,影像处理_GIMP,Graphics,,,,,,Image processing _GIMP,"With layers of video editing applications and lattice graphics software, and interface similar to Photoshop",Image processing _GIMP,Graphics
jkiwi.desktop,髮型彩粧_jKiwi,jKiwi 可以讓你輕鬆的對人像照片進行髮型與彩粧模擬設計,髮型彩粧_jKiwi,发型彩妆_jKiwi,jKiwi可以让你轻松的对人像照片进行发型与彩妆仿真设计,发型彩妆_jKiwi,Graphics,,,,,,Hair Makeup _jKiwi,jKiwi lets you easily portrait photos of hairstyles and make-up design simulation,Hair Makeup _jKiwi,Graphics
digikam.desktop,相片管理_digiKam,專業的數位相片和圖片管理軟體,相片管理_digiKam,相片管理_digiKam,专业的数位相片和图片管理软件,相片管理_digiKam,Graphics,,,,,,Photo management _digiKam,Professional digital photo and image management software,Photo management _digiKam,Graphics
gwenview.desktop,相片瀏覽_Gwenview,簡易的數位相片和圖片瀏覽軟體,相片瀏覽_Gwenview,相片浏览_Gwenview,简易的数位相片和图片浏览软件,相片浏览_Gwenview,Graphics,,,,,,PHOTO _Gwenview,Easy digital photo and picture viewing software,PHOTO _Gwenview,Graphics
org.kde.gwenview.desktop,相片瀏覽_Gwenview,簡易的數位相片和圖片瀏覽軟體,相片瀏覽_Gwenview,相片浏览_Gwenview,简易的数位相片和图片浏览软件,相片浏览_Gwenview,Graphics,,,,,,PHOTO _Gwenview,Easy digital photo and picture viewing software,PHOTO _Gwenview,Graphics
# gpicview.desktop: 20141107 added by Franklin,,,,,,,,,,,,,,,,
gpicview.desktop,相片瀏覽_Gpicview,簡易的數位相片與圖片瀏覽軟體,相片瀏覽_Gpicview,相片浏览_Gpicview,简易的数位相片和图片浏览软件,相片浏览_Gpicview,Graphics,,,,,,PHOTO _Gpicview,Easy digital photo and picture viewing software,PHOTO _Gpicview,Graphics
f-spot.desktop,相片管理_F-Spot,F-Spot 可以讓你輕鬆的組織及分享你的相片,相片管理_F-Spot,相片管理_F-Spot,F-Spot可以让你轻松的组织及分享你的相片,相片管理_F-Spot,Graphics,,,,,,_F-Spot Photo Manager,F-Spot lets you easily organize and share your photos,_F-Spot Photo Manager,Graphics
gthumb.desktop,圖片管理_gThumb,簡易的數位相片和圖片管理軟體,圖片管理_gThumb,图片管理_gThumb,简易的数位相片和图片管理软件,图片管理_gThumb,Graphics,,,,,,Pictures _gThumb,Easy digital photo and image management software,Pictures _gThumb,Graphics
fotowall.desktop,多圖合併_Fotowall,Fotowall 可以讓你輕鬆的將多張圖片進行各種套用與設計,多圖合併_Fotowall,多图合并_Fotowall,Fotowall可以让你轻松的将多张图片进行各种套用与设计,多图合并_Fotowall,Graphics,,,,,,More map consolidation _Fotowall,Fotowall lets you easily will be multiple images and apply various design,More map consolidation _Fotowall,Graphics
expoblending.desktop,曝光混合_Expo blending,將曝光影像進行混合,曝光混合_Expo blending,曝光混合_Expoblending,将曝光影像进行混合,曝光混合_Expoblending,Graphics,,,,,,Exposure mixing _Expo blending,Exposure image mixed,Exposure mixing _Expoblending,Graphics
photolayoutseditor.desktop,相片佈局_Photo layouts editor,建立美觀與專業的相片佈局,相片佈局_Photo layouts editor,相片布局_Photolayoutseditor,创建美观与专业的相片布局,相片布局_Photolayoutseditor,Graphics,,,,,,Photo layout _Photo layouts editor,Create beautiful and professional photo layout,Photo layout _Photolayoutseditor,Graphics
